id,name,symbol,price,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,volume_24h,last_updated
402,Beta Finance,BETA,0.06354686499284554,-13.0396,0.80161272,-2.89690407,8.00467621,-20.32078448,-12.38980648,-21.8984038,46889883.72212049,1815480.6532912,2023-10-26 20:12:00
403,Raydium,RAY,0.19683812826761002,11.5746,0.56743811,-2.0490648,13.84057929,16.44127421,8.60528023,-8.8672727,46667777.83276826,9442268.76129091,2023-10-26 20:11:00
404,smARTOFGIVING,AOG,0.6322998251408856,0.167,0.03233761,-0.15979877,0.2944771,0.56637416,1.36510222,1.32544248,46651387.38545212,22693.38434828,2023-10-26 20:12:00
405,Strike,STRK,11.684227813299552,209.2007,0.50291745,0.895858,15.31380253,14.69761914,16.15828522,2.48766636,46297951.927394055,27618837.08772247,2023-10-26 20:11:00
406,Sologenic,SOLO,0.11485829681558564,-7.4004,-0.32975443,-1.13611485,29.03722931,29.99106874,31.4245226,-27.77507037,45937311.5224525,1171091.9768998,2023-10-26 20:12:00
407,FirmaChain,FCT,0.059739214129503906,-31.3041,0.01504485,-4.79788981,4.7930301,5.5874374,16.13692147,11.11413275,45735260.832045615,5027508.22790613,2023-10-26 20:11:00
408,AXEL,AXEL,0.1614481435508138,-48.2155,0.25870889,-2.15262324,27.9073998,32.33067355,31.45659958,-2.28607822,45706408.25539924,16210.45121483,2023-10-26 20:12:00
409,Oasys,OAS,0.04231301094493234,-28.6594,-0.05590651,1.04105631,5.67552748,-2.37994443,-14.88131753,-23.32752308,45000677.2084759,589210.40388893,2023-10-26 20:11:00
410,ThunderCore,TT,0.0042926171968315835,50.873,0.16153482,-5.07422771,-0.4621536,7.58829371,22.84121622,11.27692138,44822022.30036939,11509698.16332368,2023-10-26 20:11:00
411,Wall Street Memes,WSM,0.024827334030338623,-0.4908,1.20636099,-13.45512761,20.55961077,-36.13567314,-37.62119675,-37.62119675,44534373.09872787,50657601.35801387,2023-10-26 20:11:00
412,XYO,XYO,0.0032934820697459134,-6.037,0.86796241,3.05017855,15.61283744,14.23431039,4.01226751,-13.3856573,44385426.88209162,596413.91859757,2023-10-26 20:11:00
413,Ampleforth Governance Token,FORTH,2.923254499699382,3.8747,0.12563989,0.61439812,5.77340355,1.87006552,14.99754683,6.86859773,44259479.92591411,12336701.96053115,2023-10-26 20:12:00
414,Aavegotchi,GHST,0.8289876374824475,25.7313,-0.05992532,0.66180979,6.15203568,7.69009515,2.59606117,-16.63955856,43727275.11084441,2082108.38611102,2023-10-26 20:11:00
415,Shentu,CTK,0.4596343966180978,71.4612,0.56377015,-1.63940657,11.39321916,3.49828461,4.90916346,-20.54395352,43619690.791585036,3826941.27340208,2023-10-26 20:11:00
